Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Bhutan,BTN,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,36.41259268,36.6760377,36.98663,37.34760234,37.72035141,38.13119606,38.57346812,39.0399752,39.53124542,39.85766708,40.03654737,40.2531474,40.50416019,40.79136993,41.11640411,41.48020766,41.86477748,42.23145661,42.54829709,42.80167609,42.26527359,42.06570949,44.55189655,40.52934084,39.17498852,39.60840684,39.67966083,39.79203493,39.9382697,41.81340635,42.5935597,43.14866975,38.28965797,40.13582225,40.25272713,40.38340429
Botswana,BWA,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,40.74223558,40.95942396,41.12503058,41.26115547,41.44474988,41.69458629,41.95659159,42.23666114,42.45179452,43.05730274,43.78101978,44.06398699,44.36991236,44.69108703,45.02342184,45.37489464,45.74280633,45.70992073,45.71126672,45.74996039,45.59298058,45.73715353,45.84367209,45.87711534,45.90327298,45.92460511,45.94723746,45.9766654,46.01542924,46.06540484,46.08367027,46.29251399,46.62431298,46.77651848,46.64481355,46.70879353
Central African Republic,CAF,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,44.95476151,44.88005131,44.82929833,44.80625032,44.8086788,44.82569193,44.85491454,44.89886715,44.95419759,45.01733758,45.08558842,45.15660402,45.23940845,45.30134137,45.33283419,45.36282408,45.35596122,45.32494809,45.30547008,46.13933634,47.01847405,46.94468773,46.78188433,46.63525488,46.60143651,46.61815555,46.61429252,46.68323923,46.7424086,47.01351902,47.26674691,47.45634879,48.16495785,48.73244842,48.52775398,48.31711435
Canada,CAN,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,44.12223567,44.43091545,44.6013123,44.7332496,44.75510055,44.97080836,45.06594408,45.1658501,45.44535991,45.56462088,45.74764456,45.8707619,46.08241528,46.34359729,46.46021021,46.44607132,46.58285871,46.76907682,46.75951163,46.96959037,47.10252095,47.01316232,47.07448413,47.11986649,46.99793532,46.90061061,46.99855878,47.02178576,47.08825904,47.09777934,46.8637988,47.04773744,47.3471213,47.33987059,47.23269291,47.23322802
Central Europe and the Baltics,CEB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,45.38011694,45.27824143,45.24335527,45.23987159,45.26196877,45.2378476,45.23022289,45.17290859,45.25271936,45.4081558,45.49220635,45.67592381,45.62959937,45.60178389,45.51652784,45.37867441,45.3663823,45.27292965,45.28510851,45.26461023,45.48394118,45.37285825,45.39306228,45.33687052,45.33015304,45.33382086,45.28289821,45.29481136,45.26404136,45.12287472,44.95823592,45.21445655,45.5320785,45.69450155,45.81918256,45.82199134
Switzerland,CHE,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,41.22072413,41.28547803,41.65656588,41.96233979,41.94559141,41.95281681,43.60987586,43.72239626,44.2056395,44.3550039,44.22587724,44.81524558,45.2197901,45.22895129,45.31118126,45.64902561,45.67384077,45.56101486,46.11857778,46.23532584,45.80724425,45.84834196,45.97427297,46.13857952,46.40995754,46.4895459,46.55079233,46.42085815,46.60826991,46.82196968,46.70805939,46.85334797,46.76717548,46.82327324,47.16252596,47.16215296
Channel Islands,CHI,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,41.38775153,41.44187053,41.62417538,41.48687626,41.45427826,41.66415781,42.12189809,42.36112092,42.48830892,43.02245107,43.33973919,43.49854705,43.87737163,44.04584758,44.015608,44.19842425,44.2979779,44.42200844,44.41174597,44.46297279,44.96094091,44.42113675,44.41804344,44.84438798,44.08259543,44.10653385,44.41018111,44.46442332,44.52926519,44.68168033,44.65519361,44.75933095,44.85423466,44.58776726,44.54709879,44.51156009
Chile,CHL,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,29.92206275,30.38787644,31.04880137,31.54915545,31.96408114,32.50245521,32.92958075,33.59587189,33.84065998,34.11981513,34.21077148,33.86829246,33.91996666,34.84229138,35.89680708,36.50863325,36.8002736,37.32537222,38.2383421,38.73657102,39.30886073,40.12897618,40.35283879,40.65189007,40.95654953,40.90702642,41.18749035,41.55767507,41.92094656,42.19139507,40.75598296,40.92064642,42.06493038,42.7080677,42.8341692,42.90350537
China,CHN,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,45.6308235,45.59572167,45.56241231,45.53096445,45.50183032,45.47373676,45.44640135,45.41659949,45.3870701,45.35711332,45.32484157,45.2401582,45.15030552,45.05602973,44.95906277,44.85765277,44.75798599,44.66153631,44.56392317,44.46649289,44.36768025,44.42013914,44.47246439,44.5335125,44.59960685,44.66848864,44.7429879,44.83095043,44.92551748,45.0115343,44.95476763,45.11505782,45.20340215,45.28348541,45.34880134,45.37606969
Cote d'Ivoire,CIV,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,35.67019724,35.82447393,35.97936942,36.12784447,36.26884767,36.40470658,36.52912055,36.64174215,36.73367628,37.42951044,38.13011605,38.82788651,39.52076209,40.20895801,40.89627497,41.58646315,42.27448344,42.96110128,43.53563883,44.01020925,44.5004214,44.99441548,45.4783712,44.58630372,43.7771851,43.0690152,42.36407558,42.32418975,42.29652726,42.2866822,42.41536934,42.59900752,42.93650571,43.12893914,43.32499863,43.35974719
